2026-01-19 14:17:34,119 | INFO | Application started
2026-01-19 14:17:38,270 | INFO | Portfolio analysis started
2026-01-19 14:17:38,271 | INFO | Analyzing stock: RELIANCE.NS
2026-01-19 14:17:39,201 | INFO | RELIANCE.NS: State=Bearish, RSI=26.33
2026-01-19 14:17:39,201 | INFO | Analyzing stock: TCS.NS
2026-01-19 14:17:39,339 | INFO | TCS.NS: State=Sideways, RSI=47.6
2026-01-19 14:17:39,339 | INFO | Analyzing stock: INFY.NS
2026-01-19 14:17:39,605 | INFO | INFY.NS: State=Bullish, RSI=62.55
2026-01-19 14:17:39,605 | INFO | Analyzing stock: HDFCBANK.NS
2026-01-19 14:17:39,758 | INFO | HDFCBANK.NS: State=Bearish, RSI=17.37
2026-01-19 14:17:39,758 | INFO | Analyzing stock: ICICIBANK.NS
2026-01-19 14:17:39,900 | INFO | ICICIBANK.NS: State=Sideways, RSI=58.79
2026-01-19 14:17:39,912 | INFO | Reports saved
2026-01-19 14:17:39,912 | INFO | Portfolio health score: 16
2026-01-19 14:22:00,624 | INFO | Application started
2026-01-19 14:23:06,068 | INFO | Application started
2026-01-19 14:23:21,238 | INFO | Portfolio analysis started
2026-01-19 14:23:21,239 | INFO | Analyzing stock: RELIANCE.NS
2026-01-19 14:23:22,354 | INFO | RELIANCE.NS: State=Bearish, RSI=26.48
2026-01-19 14:23:22,354 | INFO | Analyzing stock: TCS.NS
2026-01-19 14:23:22,661 | INFO | TCS.NS: State=Sideways, RSI=47.71
2026-01-19 14:23:22,661 | INFO | Analyzing stock: INFY.NS
2026-01-19 14:23:23,024 | INFO | INFY.NS: State=Bullish, RSI=62.65
2026-01-19 14:23:23,025 | INFO | Analyzing stock: HDFCBANK.NS
2026-01-19 14:23:23,254 | INFO | HDFCBANK.NS: State=Bearish, RSI=17.48
2026-01-19 14:23:23,254 | INFO | Analyzing stock: ICICIBANK.NS
2026-01-19 14:23:23,544 | INFO | ICICIBANK.NS: State=Sideways, RSI=58.79
2026-01-19 14:23:23,555 | INFO | Reports saved
2026-01-19 14:23:23,556 | INFO | Portfolio health score: 16
2026-01-19 14:25:11,179 | INFO | Application started
2026-01-19 14:25:25,987 | INFO | Portfolio analysis started
2026-01-19 14:25:25,988 | INFO | Analyzing stock: RELIANCE.NS
2026-01-19 14:25:25,989 | INFO | RELIANCE.NS: fetch attempt 1
2026-01-19 14:25:26,889 | INFO | RELIANCE.NS: State=Bearish, RSI=26.48
2026-01-19 14:25:26,889 | INFO | Analyzing stock: TCS.NS
2026-01-19 14:25:26,889 | INFO | TCS.NS: fetch attempt 1
2026-01-19 14:25:27,118 | INFO | TCS.NS: State=Sideways, RSI=47.65
2026-01-19 14:25:27,118 | INFO | Analyzing stock: INFY.NS
2026-01-19 14:25:27,119 | INFO | INFY.NS: fetch attempt 1
2026-01-19 14:25:27,407 | INFO | INFY.NS: State=Bullish, RSI=62.6
2026-01-19 14:25:27,408 | INFO | Analyzing stock: HDFCBANK.NS
2026-01-19 14:25:27,408 | INFO | HDFCBANK.NS: fetch attempt 1
2026-01-19 14:25:27,654 | INFO | HDFCBANK.NS: State=Bearish, RSI=17.47
2026-01-19 14:25:27,654 | INFO | Analyzing stock: ICICIBANK.NS
2026-01-19 14:25:27,654 | INFO | ICICIBANK.NS: fetch attempt 1
2026-01-19 14:25:28,126 | INFO | ICICIBANK.NS: State=Sideways, RSI=59.3
2026-01-19 14:25:28,140 | INFO | Portfolio health score: 16
2026-01-19 14:27:12,974 | INFO | Application started
2026-01-19 14:27:25,813 | INFO | Portfolio analysis started
2026-01-19 14:27:25,814 | INFO | Analyzing stock: RELIANCE.NS
2026-01-19 14:27:25,814 | INFO | RELIANCE.NS: fetch attempt 1
2026-01-19 14:27:26,963 | INFO | RELIANCE.NS: State=Bearish, RSI=26.43
2026-01-19 14:27:26,964 | INFO | Analyzing stock: TCS.NS
2026-01-19 14:27:26,964 | INFO | TCS.NS: fetch attempt 1
2026-01-19 14:27:27,166 | INFO | TCS.NS: State=Sideways, RSI=47.62
2026-01-19 14:27:27,166 | INFO | Analyzing stock: INFY.NS
2026-01-19 14:27:27,166 | INFO | INFY.NS: fetch attempt 1
2026-01-19 14:27:27,523 | INFO | INFY.NS: State=Bullish, RSI=62.37
2026-01-19 14:27:27,523 | INFO | Analyzing stock: HDFCBANK.NS
2026-01-19 14:27:27,523 | INFO | HDFCBANK.NS: fetch attempt 1
2026-01-19 14:27:27,878 | INFO | HDFCBANK.NS: State=Bearish, RSI=17.4
2026-01-19 14:27:27,879 | INFO | Analyzing stock: ICICIBANK.NS
2026-01-19 14:27:27,879 | INFO | ICICIBANK.NS: fetch attempt 1
2026-01-19 14:27:28,098 | INFO | ICICIBANK.NS: State=Sideways, RSI=59.22
2026-01-19 14:27:28,104 | INFO | Portfolio health score: 16
2026-01-19 14:35:22,895 | INFO | Application started
2026-01-19 14:40:35,482 | INFO | Application started
2026-01-19 14:40:56,086 | INFO | Analyzing stock: TCS.NS
2026-01-19 14:40:56,086 | INFO | TCS.NS: fetch attempt 1
2026-01-19 14:40:57,229 | INFO | TCS.NS: State=Sideways, RSI=47.68
2026-01-19 14:41:16,599 | INFO | Analyzing stock: INFY.NS
2026-01-19 14:41:16,599 | INFO | INFY.NS: fetch attempt 1
2026-01-19 14:41:17,033 | INFO | INFY.NS: State=Bullish, RSI=62.24
2026-01-19 14:41:28,564 | INFO | Analyzing stock: SUZLON.NS
2026-01-19 14:41:28,564 | INFO | SUZLON.NS: fetch attempt 1
2026-01-19 14:41:28,982 | INFO | SUZLON.NS: State=Bearish, RSI=29.32
2026-01-19 14:41:36,512 | INFO | Analyzing stock: LANCER.NS
2026-01-19 14:41:36,512 | INFO | LANCER.NS: fetch attempt 1
2026-01-19 14:41:38,950 | INFO | LANCER.NS: fetch attempt 2
2026-01-19 14:41:41,137 | INFO | LANCER.NS: fetch attempt 3
2026-01-19 14:41:43,421 | ERROR | LANCER.NS: failed after 3 retries
2026-01-19 14:41:43,422 | WARNING | LANCER.NS: insufficient data
2026-01-19 14:41:49,764 | INFO | Analyzing stock: GROWW.NS
2026-01-19 14:41:49,765 | INFO | GROWW.NS: fetch attempt 1
2026-01-19 14:41:50,080 | INFO | GROWW.NS: State=Sideways, RSI=53.32
2026-01-19 14:44:41,806 | INFO | Application started
2026-01-19 14:45:00,521 | INFO | Analyzing stock: RELIANCE.NS
2026-01-19 14:45:00,522 | INFO | RELIANCE.NS: fetch attempt 1
2026-01-19 14:45:01,269 | INFO | RELIANCE.NS: State=Bearish, RSI=26.57
2026-01-19 14:45:01,270 | INFO | Analyzing stock: TCS.NS
2026-01-19 14:45:01,270 | INFO | TCS.NS: fetch attempt 1
2026-01-19 14:45:01,445 | INFO | TCS.NS: State=Sideways, RSI=47.69
2026-01-19 14:45:01,445 | INFO | Analyzing stock: INFY.NS
2026-01-19 14:45:01,445 | INFO | INFY.NS: fetch attempt 1
2026-01-19 14:45:01,745 | INFO | INFY.NS: State=Bullish, RSI=61.94
2026-01-19 14:45:01,746 | INFO | Analyzing stock: HDFCBANK.NS
2026-01-19 14:45:01,746 | INFO | HDFCBANK.NS: fetch attempt 1
2026-01-19 14:45:02,006 | INFO | HDFCBANK.NS: State=Bearish, RSI=17.33
2026-01-19 14:45:02,007 | INFO | Analyzing stock: ICICIBANK.NS
2026-01-19 14:45:02,007 | INFO | ICICIBANK.NS: fetch attempt 1
2026-01-19 14:45:02,278 | INFO | ICICIBANK.NS: State=Sideways, RSI=59.76
2026-01-19 14:47:38,828 | INFO | Application started
2026-01-19 14:48:45,644 | INFO | Analyzing stock: RELIANCE.NS
2026-01-19 14:48:45,644 | INFO | RELIANCE.NS: fetch attempt 1
2026-01-19 14:48:46,541 | INFO | RELIANCE.NS: State=Bearish, RSI=26.63
2026-01-19 14:48:46,541 | INFO | Analyzing stock: TCS.NS
2026-01-19 14:48:46,541 | INFO | TCS.NS: fetch attempt 1
2026-01-19 14:48:46,786 | INFO | TCS.NS: State=Sideways, RSI=47.71
2026-01-19 14:48:46,786 | INFO | Analyzing stock: INFY.NS
2026-01-19 14:48:46,786 | INFO | INFY.NS: fetch attempt 1
2026-01-19 14:48:46,966 | INFO | INFY.NS: State=Bullish, RSI=61.86
2026-01-19 14:48:46,967 | INFO | Analyzing stock: HDFCBANK.NS
2026-01-19 14:48:46,967 | INFO | HDFCBANK.NS: fetch attempt 1
2026-01-19 14:48:47,285 | INFO | HDFCBANK.NS: State=Bearish, RSI=17.54
2026-01-19 14:48:47,286 | INFO | Analyzing stock: ICICIBANK.NS
2026-01-19 14:48:47,286 | INFO | ICICIBANK.NS: fetch attempt 1
2026-01-19 14:48:47,525 | INFO | ICICIBANK.NS: State=Sideways, RSI=59.16
2026-01-19 14:51:14,759 | INFO | Application started
2026-01-19 14:51:26,754 | INFO | Analyzing stock: RELIANCE.NS
2026-01-19 14:51:26,755 | INFO | RELIANCE.NS: fetch attempt 1
2026-01-19 14:51:27,866 | INFO | RELIANCE.NS: State=Bearish, RSI=26.69
2026-01-19 14:51:27,866 | INFO | Analyzing stock: TCS.NS
2026-01-19 14:51:27,867 | INFO | TCS.NS: fetch attempt 1
2026-01-19 14:51:28,154 | INFO | TCS.NS: State=Sideways, RSI=47.72
2026-01-19 14:51:28,155 | INFO | Analyzing stock: INFY.NS
2026-01-19 14:51:28,155 | INFO | INFY.NS: fetch attempt 1
2026-01-19 14:51:28,383 | INFO | INFY.NS: State=Bullish, RSI=61.73
2026-01-19 14:51:28,384 | INFO | Analyzing stock: HDFCBANK.NS
2026-01-19 14:51:28,384 | INFO | HDFCBANK.NS: fetch attempt 1
2026-01-19 14:51:28,673 | INFO | HDFCBANK.NS: State=Bearish, RSI=17.42
2026-01-19 14:51:28,674 | INFO | Analyzing stock: ICICIBANK.NS
2026-01-19 14:51:28,674 | INFO | ICICIBANK.NS: fetch attempt 1
2026-01-19 14:51:28,892 | INFO | ICICIBANK.NS: State=Sideways, RSI=59.35
2026-01-19 14:51:38,525 | INFO | Analyzing stock: GROWW.NS
2026-01-19 14:51:38,526 | INFO | GROWW.NS: fetch attempt 1
2026-01-19 14:51:38,774 | INFO | GROWW.NS: State=Bullish, RSI=53.63
2026-01-19 15:40:47,862 | ERROR | Data fetch failed for None: 'NoneType' object has no attribute 'replace'
2026-01-19 15:40:50,308 | ERROR | Data fetch failed for None: 'NoneType' object has no attribute 'replace'
2026-01-19 15:45:52,740 | INFO | Analyzing RELIANCE.NS
2026-01-19 15:45:54,333 | INFO | Analyzing RELIANCE.NS
2026-01-19 15:45:54,397 | INFO | Analyzing TCS.NS
2026-01-19 15:45:54,712 | INFO | Analyzing INFY.NS
2026-01-19 15:45:54,964 | INFO | Analyzing HDFCBANK.NS
2026-01-19 15:45:55,249 | INFO | Analyzing ICICIBANK.NS
2026-01-19 15:46:00,982 | INFO | Analyzing TCS.NS
2026-01-19 15:46:01,388 | INFO | Analyzing RELIANCE.NS
2026-01-19 15:46:01,546 | INFO | Analyzing TCS.NS
2026-01-19 15:46:01,630 | INFO | Analyzing INFY.NS
2026-01-19 15:46:01,728 | INFO | Analyzing HDFCBANK.NS
2026-01-19 15:46:02,059 | INFO | Analyzing ICICIBANK.NS
2026-01-19 15:48:53,686 | INFO | Analyzing RELIANCE.NS
2026-01-19 15:48:54,748 | INFO | Analyzing RELIANCE.NS
2026-01-19 15:48:54,996 | INFO | Analyzing TCS.NS
2026-01-19 15:48:55,134 | INFO | Analyzing INFY.NS
2026-01-19 15:48:55,323 | INFO | Analyzing HDFCBANK.NS
2026-01-19 15:48:55,642 | INFO | Analyzing ICICIBANK.NS
2026-01-19 15:51:41,194 | INFO | Analyzing RELIANCE.NS
2026-01-19 15:51:46,555 | INFO | Analyzing RELIANCE.NS
2026-01-19 15:51:48,635 | INFO | Analyzing HDFCBANK.NS
2026-01-19 15:51:49,712 | INFO | Analyzing HDFCBANK.NS
2026-01-19 15:51:50,050 | INFO | Analyzing RELIANCE.NS
2026-01-19 15:51:50,297 | INFO | Analyzing RELIANCE.NS
2026-01-19 15:54:42,936 | INFO | Analyzing RELIANCE.NS
2026-01-19 15:55:01,031 | INFO | Analyzing RELIANCE.NS
2026-01-19 15:55:04,251 | INFO | Analyzing RELIANCE.NS
2026-01-19 15:58:51,410 | INFO | Analyzing RELIANCE.NS
2026-01-19 15:58:53,164 | INFO | Analyzing RELIANCE.NS
2026-01-19 15:58:53,463 | INFO | Analyzing RELIANCE.NS
2026-01-19 15:58:53,818 | INFO | Analyzing RELIANCE.NS
2026-01-19 15:58:54,085 | INFO | Analyzing TCS.NS
2026-01-19 15:58:54,612 | INFO | Analyzing INFY.NS
2026-01-19 15:58:55,023 | INFO | Analyzing HDFCBANK.NS
2026-01-19 15:58:55,413 | INFO | Analyzing ICICIBANK.NS
2026-01-19 15:59:06,700 | INFO | Analyzing RELIANCE.NS
2026-01-19 15:59:07,750 | INFO | Analyzing RELIANCE.NS
2026-01-19 15:59:08,232 | INFO | Analyzing RELIANCE.NS
2026-01-19 15:59:08,479 | INFO | Analyzing RELIANCE.NS
2026-01-19 15:59:08,975 | INFO | Analyzing RELIANCE.NS
2026-01-19 15:59:09,199 | INFO | Analyzing TCS.NS
2026-01-19 15:59:09,660 | INFO | Analyzing INFY.NS
2026-01-19 15:59:10,015 | INFO | Analyzing HDFCBANK.NS
2026-01-19 15:59:10,305 | INFO | Analyzing ICICIBANK.NS
2026-01-19 15:59:12,753 | INFO | Analyzing RELIANCE.NS
2026-01-19 16:02:28,783 | INFO | Analyzing RELIANCE.NS
2026-01-19 16:02:30,499 | INFO | Analyzing RELIANCE.NS
2026-01-19 16:02:30,594 | INFO | Analyzing RELIANCE.NS
2026-01-19 16:02:31,002 | INFO | Analyzing RELIANCE.NS
2026-01-19 16:02:31,131 | INFO | Analyzing TCS.NS
2026-01-19 16:02:31,498 | INFO | Analyzing INFY.NS
2026-01-19 16:02:31,899 | INFO | Analyzing HDFCBANK.NS
2026-01-19 16:02:32,163 | INFO | Analyzing ICICIBANK.NS
2026-01-19 16:02:39,596 | INFO | Analyzing GROWW.NS
2026-01-19 16:02:48,922 | INFO | Analyzing GROWW.NS
2026-01-19 16:02:51,033 | INFO | Analyzing GROWW.NS
2026-01-19 16:02:51,080 | INFO | Analyzing GROWW.NS
2026-01-19 16:08:07,089 | INFO | Analyzing RELIANCE.NS
2026-01-19 16:08:08,459 | INFO | Analyzing RELIANCE.NS
2026-01-19 16:08:08,615 | INFO | Analyzing RELIANCE.NS
2026-01-19 16:08:08,792 | INFO | Analyzing RELIANCE.NS
2026-01-19 16:08:09,030 | INFO | Analyzing TCS.NS
2026-01-19 16:08:09,197 | INFO | Analyzing INFY.NS
2026-01-19 16:08:09,370 | INFO | Analyzing HDFCBANK.NS
2026-01-19 16:08:09,687 | INFO | Analyzing ICICIBANK.NS
2026-01-19 16:08:24,037 | INFO | Analyzing GROWW.NS
2026-01-19 16:12:28,503 | INFO | Analyzing RELIANCE.NS
2026-01-19 16:12:29,626 | INFO | Analyzing RELIANCE.NS
2026-01-19 16:12:29,810 | INFO | Analyzing RELIANCE.NS
2026-01-19 16:12:29,875 | INFO | Analyzing RELIANCE.NS
2026-01-19 16:12:30,126 | INFO | Analyzing TCS.NS
2026-01-19 16:12:30,291 | INFO | Analyzing INFY.NS
2026-01-19 16:12:30,472 | INFO | Analyzing HDFCBANK.NS
2026-01-19 16:12:30,771 | INFO | Analyzing ICICIBANK.NS
2026-01-19 16:12:53,875 | INFO | Analyzing RELIANCE.NS
2026-01-19 16:12:54,662 | INFO | Analyzing RELIANCE.NS
2026-01-19 16:12:54,957 | INFO | Analyzing RELIANCE.NS
2026-01-19 16:12:55,320 | INFO | Analyzing RELIANCE.NS
2026-01-19 16:12:55,432 | INFO | Analyzing TCS.NS
2026-01-19 16:12:55,850 | INFO | Analyzing INFY.NS
2026-01-19 16:12:56,342 | INFO | Analyzing HDFCBANK.NS
2026-01-19 16:12:56,590 | INFO | Analyzing ICICIBANK.NS
2026-01-19 16:12:59,150 | INFO | Analyzing RELIANCE.NS
2026-01-19 16:12:59,681 | INFO | Analyzing RELIANCE.NS
2026-01-19 16:12:59,772 | INFO | Analyzing RELIANCE.NS
2026-01-19 16:13:00,036 | INFO | Analyzing RELIANCE.NS
2026-01-19 16:13:00,141 | INFO | Analyzing TCS.NS
2026-01-19 16:13:00,258 | INFO | Analyzing INFY.NS
2026-01-19 16:13:00,542 | INFO | Analyzing HDFCBANK.NS
2026-01-19 16:13:00,776 | INFO | Analyzing ICICIBANK.NS
2026-01-19 16:18:20,923 | INFO | Analyzing RELIANCE.NS
2026-01-19 16:18:22,090 | INFO | Analyzing RELIANCE.NS
2026-01-19 16:18:22,145 | INFO | Analyzing RELIANCE.NS
2026-01-19 16:18:22,466 | INFO | Analyzing RELIANCE.NS
2026-01-19 16:18:22,545 | INFO | Analyzing TCS.NS
2026-01-19 16:18:22,699 | INFO | Analyzing INFY.NS
2026-01-19 16:18:22,990 | INFO | Analyzing HDFCBANK.NS
2026-01-19 16:18:23,168 | INFO | Analyzing ICICIBANK.NS
2026-01-19 16:18:45,458 | INFO | Analyzing MARUTI.NS
2026-01-19 16:18:45,974 | INFO | Analyzing RELIANCE.NS
2026-01-19 16:18:46,180 | INFO | Analyzing RELIANCE.NS
2026-01-19 16:18:46,381 | INFO | Analyzing RELIANCE.NS
2026-01-19 16:18:46,714 | INFO | Analyzing TCS.NS
2026-01-19 16:18:47,119 | INFO | Analyzing INFY.NS
2026-01-19 16:18:47,420 | INFO | Analyzing HDFCBANK.NS
2026-01-19 16:18:47,735 | INFO | Analyzing ICICIBANK.NS
2026-01-19 16:23:30,815 | INFO | Analyzing RELIANCE.NS
2026-01-19 16:26:10,320 | INFO | Analyzing RELIANCE.NS
2026-01-19 16:28:47,792 | INFO | Analyzing RELIANCE.NS
2026-01-19 16:33:07,736 | INFO | Analyzing RELIANCE.NS
2026-01-19 16:33:18,911 | INFO | Analyzing RELIANCE.NS
2026-01-19 16:33:33,029 | INFO | Analyzing ITC.NS
2026-01-19 16:36:32,147 | INFO | Analyzing RELIANCE.NS
